type,title,authors,publish_date,source_records,number_of_pages,publishers,isbn_10,isbn_13,physical_format,full_title,covers,works,key,lc_classifications,local_id,latest_revision,revision,created,last_modified,identifiers,classifications,description,publish_places,contributions,subjects,languages,pagination,dewey_decimal_class,edition_name,lccn,publish_country,by_statement,oclc_numbers,subtitle,contributors,oclc_number,notes,first_sentence,ocaid,weight,physical_dimensions,series,subject_people,copyright_date,table_of_contents,coverimage,genres,ia_box_id,ia_loaded_id,subject_place,url,uri_descriptions,uris,links,other_titles,work_title,openlibrary,original_isbn,location,work_titles,subject_time
{'key': '/type/edition'},Deadeye Dick,[{'key': '/authors/OL20187A'}],"Jul 11, 2019","['amazon:0008264325', 'bwb:9780008264321', 'promise:bwb_daily_pallets_2022-07-11']",192.0,['Fourth Estate'],['0008264325'],['9780008264321'],paperback,Deadeye Dick,[10881592],[{'key': '/works/OL24355544W'}],/books/OL32251595M,['PS3572.O5'],['urn:bwbsku:KR-007-422'],4,4,"{'type': '/type/datetime', 'value': '2021-04-28T21:16:26.079212'}","{'type': '/type/datetime', 'value': '2022-12-04T23:48:00.766748'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{'key': '/type/edition'},Bluebeard,,2019,,,['Fourth Estate'],,['9780008264338'],,,[12881220],[{'key': '/works/OL98476W'}],/books/OL39478202M,,,3,3,"{'type': '/type/datetime', 'value': '2022-09-01T07:16:10.352530'}","{'type': '/type/datetime', 'value': '2022-09-01T07:16:49.493628'}",{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{'key': '/type/edition'},Cat's Cradle,[{'key': '/authors/OL20187A'}],"May 05, 1963",['amazon:0030672252'],233.0,"['Holt, Rinehart and Winston']",['0030672252'],['9780030672255'],hardcover,Cat's Cradle,[10941970],[{'key': '/works/OL98454W'}],/books/OL32318340M,,,3,3,"{'type': '/type/datetime', 'value': '2021-05-05T10:28:52.190926'}","{'type': '/type/datetime', 'value': '2022-04-06T09:25:21.527020'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{'key': '/type/edition'},"Sun, moon, star",[{'key': '/authors/OL20187A'}],1980,"['marc:marc_openlibraries_phillipsacademy/PANO_FOR_IA_05072019.mrc:10018514:1162', 'marc:marc_loc_2016/BooksAll.2016.part12.utf8:707761:843', 'bwb:9780060263195', 'marc:marc_uic/UIC_2022.mrc:224891303:2069', 'promise:bwb_daily_pallets_2022-06-13', 'marc:marc_columbia/Columbia-extract-20221130-001.mrc:105691297:2332']",62.0,['Harper & Row'],['0060263199'],,,,,[{'key': '/works/OL10567759W'}],/books/OL4406495M,"['PZ7.V939 Su 1980', 'PZ7.V939Su 1980', 'PS3572.O5 S8 1980']","['urn:phillips:31867000825583', 'urn:bwbsku:W7-CWX-741']",12,12,"{'type': '/type/datetime', 'value': '2008-04-01T03:28:50.625462'}","{'type': '/type/datetime', 'value': '2022-12-08T04:01:34.552869'}","{'librarything': ['815701'], 'goodreads': ['9603']}",,"{'type': '/type/text', 'value': 'When the Creator of the universe came to Earth, It resolved to be born a male human infant, and this is what It saw when It opened Its eyes.'}",['New York'],"['Chermayeff, Ivan.']","['Jesus Christ -- Juvenile fiction.', 'Jesus Christ -- Nativity -- Fiction.']",[{'key': '/languages/eng'}],62 p. :,['[Fic]'],1st ed.,['79009612'],nyu,Kurt Vonnegut ; [ill. by] Ivan Chermayeff.,['6015561'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
{'key': '/type/edition'},Slaughterhouse Five,[{'key': '/authors/OL20187A'}],"November 4, 2003","['amazon:006056492X:o-3:196654006:250843', 'amazon:006056492X:3:4020293578:252899', 'amazon:006056492X']",,['Caedmon'],['006056492X'],['9780060564926'],,,[29738],[{'key': '/works/OL98459W'}],/books/OL7278771M,,,10,10,"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}","{'type': '/type/datetime', 'value': '2022-11-01T03:46:44.057060'}","{'librarything': ['816613'], 'goodreads': ['978428']}",,,,['Ethan Hawke (Narrator)'],,[{'key': '/languages/eng'}],,,,,,,['53446148'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
{'key': '/type/edition'},Breakfast of Champions,[{'key': '/authors/OL20187A'}],"March 2, 2004","['amazon:0060564970:o-3:197067882:241230', 'amazon:0060564970:3:4020710077:240092', 'amazon:0060564970']",,['Caedmon'],['0060564970'],['9780060564971'],,,[29743],[{'key': '/works/OL98488W'}],/books/OL7278773M,,,8,8,"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}","{'type': '/type/datetime', 'value': '2023-03-15T12:15:50.541534'}","{'librarything': ['4335846'], 'goodreads': ['920919']}",,,,['Stanley Tucci (Narrator)'],,[{'key': '/languages/eng'}],,,,,,,['54755503'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
{'key': '/type/edition'},Slaughterhouse-Five (or The Children's Crusade: A Duty Dance with Death),[{'key': '/authors/OL20187A'}],"November 4, 2003","['amazon:0060573775:o-3:278151465:252002', 'amazon:0060573775:3:4102121786:254244']",1.0,['Caedmon'],['0060573775'],['9780060573775'],,,[30261],[{'key': '/works/OL98459W'}],/books/OL7278992M,,,6,6,"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}","{'type': '/type/datetime', 'value': '2010-08-04T23:11:00.898190'}","{'goodreads': ['786269'], 'librarything': ['816613']}",,,,['Hawke Ethan (Narrator)'],,[{'key': '/languages/eng'}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{'key': '/type/edition'},Breakfast of Champions CD,[{'key': '/authors/OL20187A'}],"March 2, 2004","['amazon:0060586230:o-3:392451168:245690', 'amazon:0060586230:3:4217144667:246987']",,['Caedmon'],['0060586230'],['9780060586232'],,,[31047],[{'key': '/works/OL98453W'}],/books/OL7279291M,,,6,6,"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}","{'type': '/type/datetime', 'value': '2010-08-04T23:12:39.282816'}","{'goodreads': ['920923'], 'librarything': ['4335846']}",,,,['Stanley Tucci (Narrator)'],,[{'key': '/languages/eng'}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{'key': '/type/edition'},Welcome to the Monkey House CD,[{'key': '/authors/OL20187A'}],"May 30, 2006","['amazon:0060898712:o-3:1963007941:250441', 'amazon:0060898712:4:1475185798:247472', 'amazon:0060898712']",,['Caedmon'],['0060898712'],['9780060898717'],,,[39575],[{'key': '/works/OL98461W'}],/books/OL7283829M,,,7,7,"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}","{'type': '/type/datetime', 'value': '2022-12-04T00:47:10.576902'}","{'goodreads': ['6925'], 'librarything': ['816488']}",,,,"['David Strathairn (Narrator)', 'Maria Tucci (Narrator)']",,[{'key': '/languages/eng'}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{'key': '/type/edition'},Cat's Cradle CD,[{'key': '/authors/OL20187A'}],"November 1, 2007","['amazon:0060898739:o-3:1963258400:161684', 'amazon:0060898739:4:1475433288:164532', 'amazon:0060898739']",,['Caedmon'],['0060898739'],['9780060898731'],,,[13254087],[{'key': '/works/OL98454W'}],/books/OL7283830M,,,6,6,"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}","{'type': '/type/datetime', 'value': '2023-02-04T17:58:20.279980'}","{'goodreads': ['10402'], 'librarything': ['3374753']}",,,,['Tbd (Narrator)'],,[{'key': '/languages/eng'}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
